image_id,url,file_name,width,height,caption
0,http://visualqa.org/data/abstract_v002/scene_img/img/0.png,abstract_v002_train2015_000000000000.png,700,400,the woman is enjoying a beautiful sunny day at the park
0,http://visualqa.org/data/abstract_v002/scene_img/img/0.png,abstract_v002_train2015_000000000000.png,700,400,a women walking in a park by the play ground
0,http://visualqa.org/data/abstract_v002/scene_img/img/0.png,abstract_v002_train2015_000000000000.png,700,400,a lady in a kids park all by herself
0,http://visualqa.org/data/abstract_v002/scene_img/img/0.png,abstract_v002_train2015_000000000000.png,700,400,a woman passes by an empty playground at a park
0,http://visualqa.org/data/abstract_v002/scene_img/img/0.png,abstract_v002_train2015_000000000000.png,700,400,a woman dances in the playground under the sun
1,http://visualqa.org/data/abstract_v002/scene_img/img/1.png,abstract_v002_train2015_000000000001.png,700,400,a woman sitting on a couch while a mouse runs by
1,http://visualqa.org/data/abstract_v002/scene_img/img/1.png,abstract_v002_train2015_000000000001.png,700,400,a woman sitting on a sofa watching a mouse run across the floor
1,http://visualqa.org/data/abstract_v002/scene_img/img/1.png,abstract_v002_train2015_000000000001.png,700,400,the old lady is frightened by the mouse
1,http://visualqa.org/data/abstract_v002/scene_img/img/1.png,abstract_v002_train2015_000000000001.png,700,400,an elderly lady has a scared look with a mouse on the ground
1,http://visualqa.org/data/abstract_v002/scene_img/img/1.png,abstract_v002_train2015_000000000001.png,700,400,an elderly woman scared of a rat that is on the floor by the table
2,http://visualqa.org/data/abstract_v002/scene_img/img/2.png,abstract_v002_train2015_000000000002.png,700,400,the boy is standing on a stool trying to get the puppy to jump for the bone
2,http://visualqa.org/data/abstract_v002/scene_img/img/2.png,abstract_v002_train2015_000000000002.png,700,400,the boy offers his dog a bone to eat
2,http://visualqa.org/data/abstract_v002/scene_img/img/2.png,abstract_v002_train2015_000000000002.png,700,400,the boy is standing on a stool holding a bone
2,http://visualqa.org/data/abstract_v002/scene_img/img/2.png,abstract_v002_train2015_000000000002.png,700,400,the boy is standing on the stool holding a bone for the dog
2,http://visualqa.org/data/abstract_v002/scene_img/img/2.png,abstract_v002_train2015_000000000002.png,700,400,a young boy stands on a step stool as he teases his pet dog with a bone
3,http://visualqa.org/data/abstract_v002/scene_img/img/3.png,abstract_v002_train2015_000000000003.png,700,400,a boy is watching a cat chase a mouse across a room
3,http://visualqa.org/data/abstract_v002/scene_img/img/3.png,abstract_v002_train2015_000000000003.png,700,400,the cat is chasing a mouse across the carpet
3,http://visualqa.org/data/abstract_v002/scene_img/img/3.png,abstract_v002_train2015_000000000003.png,700,400,a boy is upset to see a cat chasing a mouse
3,http://visualqa.org/data/abstract_v002/scene_img/img/3.png,abstract_v002_train2015_000000000003.png,700,400,a little boy looks at a cat chasing a rat
3,http://visualqa.org/data/abstract_v002/scene_img/img/3.png,abstract_v002_train2015_000000000003.png,700,400,a boy is sitting on a couch and watching a dog chase a mouse
4,http://visualqa.org/data/abstract_v002/scene_img/img/4.png,abstract_v002_train2015_000000000004.png,700,400,two girls in a field near a small pond
4,http://visualqa.org/data/abstract_v002/scene_img/img/4.png,abstract_v002_train2015_000000000004.png,700,400,a girl sits on a log looking at a pond while another girl stands beside her
4,http://visualqa.org/data/abstract_v002/scene_img/img/4.png,abstract_v002_train2015_000000000004.png,700,400,two girls play together in a park full of wildlife together
4,http://visualqa.org/data/abstract_v002/scene_img/img/4.png,abstract_v002_train2015_000000000004.png,700,400,two little girls are near a pond in the woods
4,http://visualqa.org/data/abstract_v002/scene_img/img/4.png,abstract_v002_train2015_000000000004.png,700,400,two girls enjoy nature and watch a duck swim in the pond
5,http://visualqa.org/data/abstract_v002/scene_img/img/5.png,abstract_v002_train2015_000000000005.png,700,400,a mom and daughter enjoying the park on a sunny day
5,http://visualqa.org/data/abstract_v002/scene_img/img/5.png,abstract_v002_train2015_000000000005.png,700,400,a mother and her daughter are taking a walk at the park
5,http://visualqa.org/data/abstract_v002/scene_img/img/5.png,abstract_v002_train2015_000000000005.png,700,400,a woman and girl walk through a park near a bench
5,http://visualqa.org/data/abstract_v002/scene_img/img/5.png,abstract_v002_train2015_000000000005.png,700,400,mommy and her little girl go for a walk on the sidewalk
5,http://visualqa.org/data/abstract_v002/scene_img/img/5.png,abstract_v002_train2015_000000000005.png,700,400,mother and daughter walking down the sidewalk on a sunny day
6,http://visualqa.org/data/abstract_v002/scene_img/img/6.png,abstract_v002_train2015_000000000006.png,700,400,girl playing on the monkey bars at the park
6,http://visualqa.org/data/abstract_v002/scene_img/img/6.png,abstract_v002_train2015_000000000006.png,700,400,a little girl in black on the monkey bars
6,http://visualqa.org/data/abstract_v002/scene_img/img/6.png,abstract_v002_train2015_000000000006.png,700,400,the girl on the playground has fun next to the pond
6,http://visualqa.org/data/abstract_v002/scene_img/img/6.png,abstract_v002_train2015_000000000006.png,700,400,a girl is hanging from a monkey bar near a tree pond and pathway
6,http://visualqa.org/data/abstract_v002/scene_img/img/6.png,abstract_v002_train2015_000000000006.png,700,400,the girl is on the monkey bars in the park
7,http://visualqa.org/data/abstract_v002/scene_img/img/7.png,abstract_v002_train2015_000000000007.png,700,400,he is so pleased with his new dog
7,http://visualqa.org/data/abstract_v002/scene_img/img/7.png,abstract_v002_train2015_000000000007.png,700,400,a man looks on as his dog runs around indoors
7,http://visualqa.org/data/abstract_v002/scene_img/img/7.png,abstract_v002_train2015_000000000007.png,700,400,a dog runs in front of a man as he walks across a room
7,http://visualqa.org/data/abstract_v002/scene_img/img/7.png,abstract_v002_train2015_000000000007.png,700,400,the man watched his new dog prance across the room
7,http://visualqa.org/data/abstract_v002/scene_img/img/7.png,abstract_v002_train2015_000000000007.png,700,400,a man is watching his small dog run across the room
8,http://visualqa.org/data/abstract_v002/scene_img/img/8.png,abstract_v002_train2015_000000000008.png,700,400,a mother and her son celebrate their pet cats birthday by giving him a cake that is placed on top of a small table
8,http://visualqa.org/data/abstract_v002/scene_img/img/8.png,abstract_v002_train2015_000000000008.png,700,400,two kids are standing next to a cat in a room
8,http://visualqa.org/data/abstract_v002/scene_img/img/8.png,abstract_v002_train2015_000000000008.png,700,400,a boy and a girl standing by a table with a picnic basket on it and a white cat walking toward a stool with an ice cream sundae on it
8,http://visualqa.org/data/abstract_v002/scene_img/img/8.png,abstract_v002_train2015_000000000008.png,700,400,the girl and the boy are in the dining room and the cat wants the cupcakes
8,http://visualqa.org/data/abstract_v002/scene_img/img/8.png,abstract_v002_train2015_000000000008.png,700,400,a boy and a girl with a cat in a room
9,http://visualqa.org/data/abstract_v002/scene_img/img/9.png,abstract_v002_train2015_000000000009.png,700,400,the man plays with the dog near the tree
9,http://visualqa.org/data/abstract_v002/scene_img/img/9.png,abstract_v002_train2015_000000000009.png,700,400,a man kneels down to pet a small dog
9,http://visualqa.org/data/abstract_v002/scene_img/img/9.png,abstract_v002_train2015_000000000009.png,700,400,an older man kneels down to play with his dog outside
9,http://visualqa.org/data/abstract_v002/scene_img/img/9.png,abstract_v002_train2015_000000000009.png,700,400,an old man kneels on the grass to play with a dog
9,http://visualqa.org/data/abstract_v002/scene_img/img/9.png,abstract_v002_train2015_000000000009.png,700,400,man playing with dog near a bush and bench
10,http://visualqa.org/data/abstract_v002/scene_img/img/10.png,abstract_v002_train2015_000000000010.png,700,400,boy in white shirt plays with cat on the rug in front of the fireplace
10,http://visualqa.org/data/abstract_v002/scene_img/img/10.png,abstract_v002_train2015_000000000010.png,700,400,the little boy is looking at the cat playing with the ball
10,http://visualqa.org/data/abstract_v002/scene_img/img/10.png,abstract_v002_train2015_000000000010.png,700,400,a child observes his cat playing with a ball of yarn
10,http://visualqa.org/data/abstract_v002/scene_img/img/10.png,abstract_v002_train2015_000000000010.png,700,400,a young boy is sitting on a rug with a cat playing with a ball of string
10,http://visualqa.org/data/abstract_v002/scene_img/img/10.png,abstract_v002_train2015_000000000010.png,700,400,the boy is sitting on the rug playing with the cat
11,http://visualqa.org/data/abstract_v002/scene_img/img/11.png,abstract_v002_train2015_000000000011.png,700,400,on a sunny day a deer jumps over a fallen log near a boy wearing a white shirt and blue pants
11,http://visualqa.org/data/abstract_v002/scene_img/img/11.png,abstract_v002_train2015_000000000011.png,700,400,a boy watches as a deer leaps over a log near the pond
11,http://visualqa.org/data/abstract_v002/scene_img/img/11.png,abstract_v002_train2015_000000000011.png,700,400,the deer is jumping over the big brown log
11,http://visualqa.org/data/abstract_v002/scene_img/img/11.png,abstract_v002_train2015_000000000011.png,700,400,a boy running past a pond and deer
11,http://visualqa.org/data/abstract_v002/scene_img/img/11.png,abstract_v002_train2015_000000000011.png,700,400,a deer is jumping of a log towards the pond while a boy leaps the opposite way
12,http://visualqa.org/data/abstract_v002/scene_img/img/12.png,abstract_v002_train2015_000000000012.png,700,400,the woman stands near the pond in the park
12,http://visualqa.org/data/abstract_v002/scene_img/img/12.png,abstract_v002_train2015_000000000012.png,700,400,a woman stands near a small koi pond
12,http://visualqa.org/data/abstract_v002/scene_img/img/12.png,abstract_v002_train2015_000000000012.png,700,400,the woman is watching the frog in the pond
12,http://visualqa.org/data/abstract_v002/scene_img/img/12.png,abstract_v002_train2015_000000000012.png,700,400,the woman is delighted to see fish and ducks cohabiting in the same small pond
12,http://visualqa.org/data/abstract_v002/scene_img/img/12.png,abstract_v002_train2015_000000000012.png,700,400,a woman stands between a pond and a tree
13,http://visualqa.org/data/abstract_v002/scene_img/img/13.png,abstract_v002_train2015_000000000013.png,700,400,a woman is standing in the park near the pond with lilypads
13,http://visualqa.org/data/abstract_v002/scene_img/img/13.png,abstract_v002_train2015_000000000013.png,700,400,woman near a pond with four lily pads on top
13,http://visualqa.org/data/abstract_v002/scene_img/img/13.png,abstract_v002_train2015_000000000013.png,700,400,the woman is standing next to pond at a park
13,http://visualqa.org/data/abstract_v002/scene_img/img/13.png,abstract_v002_train2015_000000000013.png,700,400,a woman stands near a pond full of turtles
13,http://visualqa.org/data/abstract_v002/scene_img/img/13.png,abstract_v002_train2015_000000000013.png,700,400,a woman standing near a small pond and a tree
14,http://visualqa.org/data/abstract_v002/scene_img/img/14.png,abstract_v002_train2015_000000000014.png,700,400,a woman walking with a girl waving at another woman with a boy
14,http://visualqa.org/data/abstract_v002/scene_img/img/14.png,abstract_v002_train2015_000000000014.png,700,400,two waving girls on a sidewalk near a bench
14,http://visualqa.org/data/abstract_v002/scene_img/img/14.png,abstract_v002_train2015_000000000014.png,700,400,their play date was set for frisbee in the park
14,http://visualqa.org/data/abstract_v002/scene_img/img/14.png,abstract_v002_train2015_000000000014.png,700,400,the 2 women are waving to each other across the park
14,http://visualqa.org/data/abstract_v002/scene_img/img/14.png,abstract_v002_train2015_000000000014.png,700,400,the women are waving to each other in the park
15,http://visualqa.org/data/abstract_v002/scene_img/img/15.png,abstract_v002_train2015_000000000015.png,700,400,a young woman is sitting on a brown stool while laughing
15,http://visualqa.org/data/abstract_v002/scene_img/img/15.png,abstract_v002_train2015_000000000015.png,700,400,the woman is sitting on the stool in the room
15,http://visualqa.org/data/abstract_v002/scene_img/img/15.png,abstract_v002_train2015_000000000015.png,700,400,a woman sits alone on a stool by the front door
15,http://visualqa.org/data/abstract_v002/scene_img/img/15.png,abstract_v002_train2015_000000000015.png,700,400,a woman in black sitting on a bar stool
15,http://visualqa.org/data/abstract_v002/scene_img/img/15.png,abstract_v002_train2015_000000000015.png,700,400,a young woman is enjoying a cookie snack
16,http://visualqa.org/data/abstract_v002/scene_img/img/16.png,abstract_v002_train2015_000000000016.png,700,400,the old man acknowledges the lady with the yellow bike
16,http://visualqa.org/data/abstract_v002/scene_img/img/16.png,abstract_v002_train2015_000000000016.png,700,400,the woman sees a co worker in the park
16,http://visualqa.org/data/abstract_v002/scene_img/img/16.png,abstract_v002_train2015_000000000016.png,700,400,the old man is sitting on the bench in the park
16,http://visualqa.org/data/abstract_v002/scene_img/img/16.png,abstract_v002_train2015_000000000016.png,700,400,a lady walking her bike passing an elderly man sitting on a bench with his puppy hiding underneath
16,http://visualqa.org/data/abstract_v002/scene_img/img/16.png,abstract_v002_train2015_000000000016.png,700,400,old man on bench near woman with orange bike
17,http://visualqa.org/data/abstract_v002/scene_img/img/17.png,abstract_v002_train2015_000000000017.png,700,400,old man is sitting on a log by the seesaw
17,http://visualqa.org/data/abstract_v002/scene_img/img/17.png,abstract_v002_train2015_000000000017.png,700,400,an old man is sitting on a log next to a red seesaw
17,http://visualqa.org/data/abstract_v002/scene_img/img/17.png,abstract_v002_train2015_000000000017.png,700,400,an older man stretches his legs while sitting on a log
17,http://visualqa.org/data/abstract_v002/scene_img/img/17.png,abstract_v002_train2015_000000000017.png,700,400,an old man is sitting on a log at the park on a sunny day
17,http://visualqa.org/data/abstract_v002/scene_img/img/17.png,abstract_v002_train2015_000000000017.png,700,400,the senior man is sitting on a log at the park
18,http://visualqa.org/data/abstract_v002/scene_img/img/18.png,abstract_v002_train2015_000000000018.png,700,400,the children are playing in front of the fireplace
